Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195,COUNTRY
1,1,1,1,1,5,3,7,9,9,5,9,1,3,1,1,8,1,6,AND
1,1,1,1,1,10,6,6,10,10,6,5,2,2,2,1,7,2,10,AND
1,1,1,1,1,2,2,2,5,5,1,1,1,1,1,1,2,1,5,AND
1,1,1,1,1,4,2,2,2,5,1,5,1,3,1,1,3,1,1,AND
2,1,1,1,1,5,9,9,10,10,6,3,1,1,1,1,5,1,2,AND
1,1,1,1,1,10,10,10,10,10,1,10,1,1,1,1,1,10,1,AND
1,1,1,1,1,10,10,10,10,10,1,10,1,1,5,1,1,1,10,AND
5,5,1,1,1,10,10,10,10,10,10,10,1,1,1,1,1,1,1,AND
1,1,1,1,1,5,5,5,7,5,1,2,1,1,1,1,1,1,1,AND
8,6,2,1,1,10,5,10,10,10,7,10,1,1,1,1,7,1,1,AND
1,5,1,1,1,5,4,10,10,1,4,7,1,1,1,1,5,1,1,AND
1,1,1,1,1,10,10,10,10,10,10,10,1,3,1,1,10,1,5,AND
1,1,1,1,1,10,10,10,10,10,1,10,1,1,1,1,10,1,1,AND
1,1,1,1,1,10,1,10,10,5,10,10,1,3,1,1,8,1,10,AND
1,1,1,1,1,10,7,8,10,10,1,4,1,1,1,1,1,1,5,AND
1,1,1,1,1,10,10,1,10,1,1,1,1,1,1,1,1,1,10,AND
1,1,1,1,1,8,6,1,10,10,1,5,1,1,1,1,1,1,1,AND
1,1,1,1,1,10,4,1,4,1,2,2,1,1,1,1,1,1,1,AND
1,2,2,2,1,10,10,10,10,10,10,10,1,6,1,1,10,1,1,AND
1,1,1,1,1,6,6,1,5,10,1,10,1,6,1,1,5,1,5,AND
1,1,1,1,1,10,5,1,2,10,1,1,1,1,1,1,3,1,1,AND
1,1,1,1,1,10,1,10,10,10,1,10,1,1,1,1,8,1,1,AND
3,7,6,5,2,9,2,8,9,10,4,9,1,2,2,2,7,1,2,AND
1,1,1,1,1,10,5,10,10,10,5,10,1,5,1,1,10,1,1,AND
1,1,1,1,1,10,10,10,10,10,10,10,1,1,1,1,10,1,1,AND
7,1,1,1,1,7,1,1,1,10,1,1,1,1,1,1,1,1,1,AND
1,1,1,1,1,10,1,1,10,10,1,10,1,1,1,1,1,1,1,AND
1,1,1,1,1,10,7,7,7,10,6,10,1,3,1,1,5,1,3,AND
5,1,1,1,1,1,5,5,10,10,1,10,1,1,1,1,5,1,1,AND
1,1,1,1,1,10,7,10,10,10,8,10,1,1,1,1,8,1,6,AND
1,4,2,1,1,6,4,4,7,10,1,3,1,3,1,1,5,1,1,AND
10,1,1,1,1,10,1,10,10,10,5,10,1,1,1,1,9,1,1,AND
1,1,1,1,1,7,1,7,7,9,1,5,1,1,1,1,1,1,5,AND
1,1,1,1,1,10,4,4,10,10,4,4,1,2,1,1,4,1,1,AND
1,1,1,1,1,10,1,6,6,10,1,10,1,1,1,1,1,1,7,AND
1,1,2,1,1,7,5,10,10,10,1,8,1,1,1,1,1,6,1,AND
1,1,2,1,1,7,5,9,10,10,1,8,1,1,1,1,1,1,1,AND
1,2,1,2,1,10,2,5,9,9,5,6,1,1,1,1,6,1,1,AND
8,1,1,1,1,10,3,3,10,6,3,10,1,1,1,1,1,1,1,AND
1,1,1,1,1,10,6,10,10,10,1,6,1,6,1,1,5,1,8,AND
1,1,1,1,1,10,10,10,10,10,2,10,1,1,1,1,10,1,1,AND
2,1,1,1,1,10,6,6,10,10,1,10,1,1,1,1,10,1,1,AND
1,1,1,3,1,8,5,7,10,7,10,7,1,3,2,1,5,3,3,AND
1,1,1,1,1,6,6,6,6,6,6,6,1,1,1,1,6,1,1,AND
10,10,5,8,3,5,5,5,5,5,5,4,1,1,1,1,5,5,1,AND
2,2,2,2,1,9,7,7,7,8,2,7,1,1,1,1,7,2,1,AND
1,1,1,1,1,10,5,8,10,10,10,10,1,1,1,1,10,1,1,AND
1,1,2,4,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,AND
1,1,1,2,1,6,4,3,8,6,3,1,1,1,1,1,5,1,2,AND
1,1,3,1,1,7,7,8,8,10,8,8,1,1,1,1,10,1,10,AND
7,2,2,1,1,6,1,2,6,9,2,2,1,4,10,1,8,1,1,AND
1,1,1,1,1,10,1,10,10,5,1,10,1,1,1,1,5,1,1,AND
1,1,1,1,1,8,7,8,8,9,5,1,8,1,1,1,7,1,1,AND
10,2,2,1,1,10,5,8,10,10,1,7,1,1,1,1,10,10,1,AND
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AND
1,10,4,1,1,7,7,7,7,8,8,8,1,1,1,1,9,1,1,AND
1,1,6,1,1,6,5,5,5,6,5,10,1,1,1,1,6,1,1,AND
2,2,1,1,1,8,8,9,9,9,9,1,2,1,3,2,5,1,1,AND
8,8,5,8,8,10,10,10,10,10,10,10,5,1,1,1,10,8,8,AND
3,3,1,3,2,10,4,5,10,10,1,10,1,1,1,1,10,2,10,AND
1,1,1,1,1,10,10,10,10,10,5,10,1,1,1,1,10,1,6,AND
1,4,1,1,1,10,4,10,10,10,7,8,1,1,1,1,10,1,5,AND
1,1,1,1,1,8,5,3,8,5,1,5,1,1,1,1,4,1,2,AND
2,1,1,1,1,10,1,10,10,10,10,10,1,1,1,1,10,2,1,AND
1,1,1,1,1,5,5,5,5,10,1,10,1,2,1,1,10,2,1,AND
2,1,1,3,1,5,10,10,10,10,7,10,1,3,10,10,8,1,1,AND
1,1,1,1,1,10,1,5,10,10,5,5,1,1,1,1,1,1,1,AND
1,1,1,1,1,10,5,6,10,10,5,5,1,1,1,1,7,1,6,AND
